state,city,SUM of last_available_confirmed,SUM of new_confirmed_7day_rolling,SUM of last_available_deaths,SUM of new_deaths_7day_rolling,MIN of date,MIN of estimated_population_2019
BA,HeliÃ?polis,832,5,7,0,6/15/2021,13031
BA,IaÃ§u,1719,9,34,0,6/15/2021,24305
BA,IbiassucÃª,470,3,1,0,6/15/2021,9224
BA,IbicaraÃ?,1991,1,55,0,6/15/2021,21689
BA,Ibicoara,782,3,10,0,6/15/2021,19571
BA,IbicuÃ?,1053,1,15,0,6/15/2021,16198
BA,Ibipeba,985,0,12,0,6/15/2021,18211
BA,Ibipitanga,956,2,16,0,6/15/2021,14902
BA,Ibiquera,121,1,6,0,6/15/2021,4044
BA,Ibirapitanga,1626,1,37,0,6/15/2021,23375
BA,IbirapuÃ£,1002,1,15,0,6/15/2021,8637
BA,Ibirataia,2164,3,35,0,6/15/2021,15312
BA,Ibitiara,655,3,8,0,6/15/2021,16339
BA,IbititÃ¡,1422,1,24,0,6/15/2021,17113
BA,Ibotirama,1086,6,35,0,6/15/2021,26927
BA,Ichu,402,1,4,0,6/15/2021,6206
BA,IgaporÃ£,467,1,22,0,6/15/2021,15640
BA,IgrapiÃºna,723,1,14,0,6/15/2021,13226
BA,IguaÃ?,1011,3,31,0,6/15/2021,26916
BA,IlhÃ©us,20278,58,504,2,6/15/2021,162327
BA,Inhambupe,2121,18,35,1,6/15/2021,39926
BA,IpecaetÃ¡,375,2,10,0,6/15/2021,14487
BA,IpiaÃº,3136,5,76,0,6/15/2021,45873
BA,IpirÃ¡,2385,12,40,0,6/15/2021,59595
BA,Ipupiara,251,4,4,0,6/15/2021,9865
BA,Irajuba,309,1,1,0,6/15/2021,7260
BA,Iramaia,227,3,9,0,6/15/2021,8537
BA,Iraquara,1590,6,14,0,6/15/2021,25216
BA,IrarÃ¡,1400,8,22,0,6/15/2021,29034
BA,IrecÃª,9249,64,127,0,6/15/2021,72967
BA,Itabela,1531,2,56,0,6/15/2021,30584
BA,Itaberaba,6424,19,128,1,6/15/2021,64489
